Epoch:250, loss:0.289, time_spent:3.21s
Epoch:251, loss:0.204, time_spent:3.21s
Epoch:252, loss:0.476, time_spent:3.21s
Epoch:253, loss:0.421, time_spent:3.21s
Epoch:254, loss:0.214, time_spent:3.21s
Epoch:255, loss:0.414, time_spent:3.21s
Epoch:256, loss:0.350, time_spent:3.21s
Epoch:257, loss:0.304, time_spent:3.21s
Epoch:258, loss:0.321, time_spent:3.21s
Epoch:259, loss:0.145, time_spent:3.21s
Epoch:260, loss:0.536, time_spent:3.21s
Epoch:261, loss:0.252, time_spent:3.21s
Epoch:262, loss:0.258, time_spent:3.21s
Epoch:263, loss:0.384, time_spent:3.21s
Epoch:264, loss:0.295, time_spent:3.21s
Epoch:265, loss:0.192, time_spent:3.21s
Epoch:266, loss:0.311, time_spent:3.21s
Epoch:267, loss:0.258, time_spent:3.21s
Epoch:268, loss:0.151, time_spent:3.21s
Epoch:269, loss:0.213, time_spent:3.21s
Epoch:270, loss:0.354, time_spent:3.21s
Epoch:271, loss:0.371, time_spent:3.21s
Epoch:272, loss:0.626, time_spent:3.21s
Epoch:273, loss:0.347, time_spent:3.21s
Epoch:274, loss:0.253, time_spent:3.21s
Epoch:275, loss:0.255, time_spent:3.21s
Epoch:276, loss:0.225, time_spent:3.21s
Epoch:277, loss:0.650, time_spent:3.21s
Epoch:278, loss:0.338, time_spent:3.21s
Epoch:279, loss:0.201, time_spent:3.21s
Epoch:280, loss:0.291, time_spent:3.21s
Epoch:281, loss:0.475, time_spent:3.22s
Epoch:282, loss:0.749, time_spent:3.21s
Epoch:283, loss:0.190, time_spent:3.21s
Epoch:284, loss:0.511, time_spent:3.21s
Epoch:285, loss:0.226, time_spent:3.21s
Epoch:286, loss:0.462, time_spent:3.21s
Epoch:287, loss:0.186, time_spent:3.21s
Epoch:288, loss:0.233, time_spent:3.21s
Epoch:289, loss:0.188, time_spent:3.21s
Epoch:290, loss:0.449, time_spent:3.21s
Epoch:291, loss:0.404, time_spent:3.20s
Epoch:292, loss:0.703, time_spent:3.21s
Epoch:293, loss:0.236, time_spent:3.21s
Epoch:294, loss:0.255, time_spent:3.21s
Epoch:295, loss:0.438, time_spent:3.20s
Epoch:296, loss:0.372, time_spent:3.21s
Epoch:297, loss:0.163, time_spent:3.21s
Epoch:298, loss:0.258, time_spent:3.21s
Epoch:299, loss:0.518, time_spent:3.20s
Epoch:300, loss:0.530, time_spent:3.21s
Epoch:301, loss:0.465, time_spent:3.21s
Epoch:302, loss:0.301, time_spent:3.20s
Epoch:303, loss:0.364, time_spent:3.20s
Epoch:304, loss:0.270, time_spent:3.21s
Epoch:305, loss:0.365, time_spent:3.21s
Epoch:306, loss:0.640, time_spent:3.21s
Epoch:307, loss:0.081, time_spent:3.21s
Epoch:308, loss:0.184, time_spent:3.20s
Epoch:309, loss:0.454, time_spent:3.22s
Epoch:310, loss:0.423, time_spent:3.22s
Epoch:311, loss:0.123, time_spent:3.20s
Epoch:312, loss:0.699, time_spent:3.21s
Epoch:313, loss:0.120, time_spent:3.21s
Epoch:314, loss:0.390, time_spent:3.21s
Epoch:315, loss:0.227, time_spent:3.21s
Epoch:316, loss:0.281, time_spent:3.21s
Epoch:317, loss:0.301, time_spent:3.22s
Epoch:318, loss:0.379, time_spent:3.22s
Epoch:319, loss:0.151, time_spent:3.22s
Epoch:320, loss:0.423, time_spent:3.21s
Epoch:321, loss:0.263, time_spent:3.21s
Epoch:322, loss:0.646, time_spent:3.21s
Epoch:323, loss:0.459, time_spent:3.21s
Epoch:324, loss:0.242, time_spent:3.21s
Epoch:325, loss:0.214, time_spent:3.21s
Epoch:326, loss:0.209, time_spent:3.21s
Epoch:327, loss:0.483, time_spent:3.21s
Epoch:328, loss:0.463, time_spent:3.21s
Epoch:329, loss:0.171, time_spent:3.21s
Epoch:330, loss:0.606, time_spent:3.21s
Epoch:331, loss:0.537, time_spent:3.20s
Epoch:332, loss:0.386, time_spent:3.21s
Epoch:333, loss:0.230, time_spent:3.21s
Epoch:334, loss:0.326, time_spent:3.21s
